gene_A	gene_B	type_A	type_B
SLC1A1	GRM2	L	R
SLC1A1	GRM7	L	R
SLC1A1	GRM3	L	R
SLC1A1	GRM4	L	R
SLC1A6	GRIN1	L	R
SLC1A6	GRIN2D	L	R
SLC1A6	GRIK1	L	R
SLC1A6	GRIK4	L	R
SLC1A6	GRIK5	L	R
SLC1A6	GRIN2A	L	R
SLC1A6	GRIN2B	L	R
SLC1A6	GRIN2C	L	R
SLC1A6	GRIK2	L	R
SLC1A6	GRIK3	L	R
SLC1A6	GRM8	L	R
SLC1A6	GRM6	L	R
SLC1A6	GRM5	L	R
SLC1A6	GRIA1	L	R
SLC1A6	GRIA2	L	R
SLC1A6	GRIA3	L	R
SLC1A6	GRIA4	L	R
SLC1A6	GRM1	L	R
SLC1A6	GRM2	L	R
SLC1A6	GRM7	L	R
SLC1A6	GRM3	L	R
SLC1A6	GRM4	L	R
SLC17A8	GRIN1	L	R
SLC17A8	GRIN2D	L	R
SLC17A8	GRIK1	L	R
SLC17A8	GRIK4	L	R
SLC17A8	GRIK5	L	R
SLC17A8	GRIN2A	L	R
SLC17A8	GRIN2B	L	R
SLC17A8	GRIN2C	L	R
SLC17A8	GRIK2	L	R
SLC17A8	GRIK3	L	R
SLC17A8	GRM8	L	R
SLC17A8	GRM6	L	R
SLC17A8	GRM5	L	R
SLC17A8	GRIA1	L	R
SLC17A8	GRIA2	L	R
SLC17A8	GRIA3	L	R
SLC17A8	GRIA4	L	R
SLC17A8	GRM1	L	R
SLC17A8	GRM2	L	R
SLC17A8	GRM7	L	R
SLC17A8	GRM3	L	R
SLC17A8	GRM4	L	R
SLC17A7	GRIN1	L	R
SLC17A7	GRIN2D	L	R
SLC17A7	GRIK1	L	R
SLC17A7	GRIK4	L	R
SLC17A7	GRIK5	L	R
SLC17A7	GRIN2A	L	R
SLC17A7	GRIN2B	L	R
SLC17A7	GRIN2C	L	R
SLC17A7	GRIK2	L	R
SLC17A7	GRIK3	L	R
SLC17A7	GRM8	L	R
SLC17A7	GRM6	L	R
SLC17A7	GRM5	L	R
SLC17A7	GRIA1	L	R
SLC17A7	GRIA2	L	R
SLC17A7	GRIA3	L	R
SLC17A7	GRIA4	L	R
SLC17A7	GRM1	L	R
SLC17A7	GRM2	L	R
SLC17A7	GRM7	L	R
SLC17A7	GRM3	L	R
SLC17A7	GRM4	L	R
SLC17A6	GRIN1	L	R
SLC17A6	GRIN2D	L	R
SLC17A6	GRIK1	L	R
SLC17A6	GRIK4	L	R
SLC17A6	GRIK5	L	R
SLC17A6	GRIN2A	L	R
SLC17A6	GRIN2B	L	R
SLC17A6	GRIN2C	L	R
SLC17A6	GRIK2	L	R
SLC17A6	GRIK3	L	R
SLC17A6	GRM8	L	R
SLC17A6	GRM6	L	R
SLC17A6	GRM5	L	R
SLC17A6	GRIA1	L	R
SLC17A6	GRIA2	L	R
SLC17A6	GRIA3	L	R
SLC17A6	GRIA4	L	R
SLC17A6	GRM1	L	R
SLC17A6	GRM2	L	R
SLC17A6	GRM7	L	R
SLC17A6	GRM3	L	R
SLC17A6	GRM4	L	R
GDF2	ACVR1B	L	R
GDF2	BMPR1B	L	R
GDF2	BMPR2	L	R
ALDH1A1	CRABP2	L	R
ALDH1A1	RARA	L	R
ALDH1A1	RXRA	L	R
ALDH1A1	RARB	L	R
ALDH1A1	RXRB	L	R
ALDH1A1	RARG	L	R
ALDH1A1	RXRG	L	R
F8	F10	L	R
F9	F10	L	R
EGFR	PIK3R1	L	R
ERBB3	PIK3R1	L	R
MMP9	LRP1	L	R
TIMP1	LRP1	L	R
POMC	OPRM1	L	R
POMC	OPRD1	L	R
POMC	OPRK1	L	R
CGA	TSHR	L	R
TSHB	TSHR	L	R
CGA	FSHR	L	R
FSHB	FSHR	L	R
LHB	LHCGR	L	R
CGB8	LHCGR	L	R
CGB7	LHCGR	L	R
CGB2	LHCGR	L	R
DIO3	THRA	L	R
TG	THRA	L	R
DIO3	THRB	L	R
TG	THRB	L	R
LTA	LTBR	L	R
LTB	LTBR	L	R
IGHG1	FCGR3B	L	R
IGLC1	FCGR3B	L	R
IGHG1	FCGR2B	L	R
IGLC1	FCGR2B	L	R
FGA	ITGA2B	L	R
FGA	ITGB3	L	R
FGB	ITGA2B	L	R
FGB	ITGB3	L	R
FGG	ITGA2B	L	R
FGG	ITGB3	L	R
FGA	ITGAM	L	R
FGA	ITGB2	L	R
FGB	ITGAM	L	R
FGB	ITGB2	L	R
FGG	ITGAM	L	R
FGG	ITGB2	L	R
FGA	TLR4	L	R
FGB	TLR4	L	R
FGG	TLR4	L	R
APP	FPR2	L	R
BACE1	FPR2	L	R
PSEN1	FPR2	L	R
APP	TNFRSF21	L	R
BACE1	TNFRSF21	L	R
CYP17A1	AR	L	R
ITGAV	KRAS	L	R
ITGB3	KRAS	L	R
ITGAV	SRC	L	R
ITGB3	SRC	L	R
ITGAV	PECAM1	L	R
ITGB3	PECAM1	L	R
ITGAV	ADGRE5	L	R
ITGB3	ADGRE5	L	R
ITGAV	ADGRA2	L	R
ITGB3	ADGRA2	L	R
ITGAV	ADGRE2	L	R
ITGB3	ADGRE2	L	R
CYP11A1	NR1H4	L	R
CYP11A1	NR1I2	L	R
FDX1	NR1I2	L	R
FDX2	NR1I2	L	R
FDXR	NR1I2	L	R
S100A8	AGER	L	R
S100A9	AGER	L	R
INHA	ACVR1B	L	R
INHA	ACVR2A	L	R
INHBA	ACVR1B	L	R
INHBA	ACVR2A	L	R
