"Gene1","Gene2","Gene1_Gene2","dir"
"ITGA9","COL6A5","ITGA9_COL6A5","RL"
"ITGA9","COL4A2","ITGA9_COL4A2","RL"
"ITGA9","COL4A6","ITGA9_COL4A6","RL"
"ITGA9","COL6A3","ITGA9_COL6A3","RL"
"ITGA9","COL1A2","ITGA9_COL1A2","RL"
"ITGA9","LAMB4","ITGA9_LAMB4","RL"
"ITGA9","COL4A1","ITGA9_COL4A1","RL"
"ITGA9","LAMA3","ITGA9_LAMA3","RL"
"ITGA9","LAMC1","ITGA9_LAMC1","RL"
"ITGA9","LAMC3","ITGA9_LAMC3","RL"
"ITGA9","LAMC2","ITGA9_LAMC2","RL"
"ITGA9","COL4A4","ITGA9_COL4A4","RL"
"ITGA9","COL1A1","ITGA9_COL1A1","RL"
"ITGA9","LAMA1","ITGA9_LAMA1","RL"
"ITGA9","TNR","ITGA9_TNR","RL"
"ITGA9","LAMA5","ITGA9_LAMA5","RL"
"ITGA9","COL6A6","ITGA9_COL6A6","RL"
"ITGA9","COL4A3","ITGA9_COL4A3","RL"
"ITGA9","TNN","ITGA9_TNN","RL"
"ITGA9","LAMA2","ITGA9_LAMA2","RL"
"ITGA9","COL6A2","ITGA9_COL6A2","RL"
"ITGA9","LAMB1","ITGA9_LAMB1","RL"
"ITGA9","COL6A1","ITGA9_COL6A1","RL"
"ITGA9","SPP1","ITGA9_SPP1","RL"
"ITGA9","COL4A5","ITGA9_COL4A5","RL"
"ITGA9","LAMA4","ITGA9_LAMA4","RL"
"ITGA9","TNXB","ITGA9_TNXB","RL"
"ITGA9","COL9A3","ITGA9_COL9A3","RL"
"ITGA9","COL9A2","ITGA9_COL9A2","RL"
"ITGA9","COL9A1","ITGA9_COL9A1","RL"
"ITGAV","IBSP","ITGAV_IBSP","RL"
"ITGAV","LAMB3","ITGAV_LAMB3","RL"
"ITGAV","LAMA1","ITGAV_LAMA1","RL"
"ITGAV","COMP","ITGAV_COMP","RL"
"ITGAV","COL1A2","ITGAV_COL1A2","RL"
"ITGAV","COL6A2","ITGAV_COL6A2","RL"
"ITGAV","COL1A1","ITGAV_COL1A1","RL"
"ITGAV","LAMC1","ITGAV_LAMC1","RL"
"ITGAV","COL2A1","ITGAV_COL2A1","RL"
"ITGAV","COL4A1","ITGAV_COL4A1","RL"
"ITGAV","TNR","ITGAV_TNR","RL"
"ITGAV","LAMB1","ITGAV_LAMB1","RL"
"ITGAV","COL4A2","ITGAV_COL4A2","RL"
"ITGAV","THBS2","ITGAV_THBS2","RL"
"ITGAV","COL4A6","ITGAV_COL4A6","RL"
"ITGAV","COL4A3","ITGAV_COL4A3","RL"
"ITGAV","COL6A6","ITGAV_COL6A6","RL"
"ITGAV","SPP1","ITGAV_SPP1","RL"
"ITGAV","TNN","ITGAV_TNN","RL"
"ITGAV","COL9A3","ITGAV_COL9A3","RL"
"ITGAV","LAMC3","ITGAV_LAMC3","RL"
"ITGAV","TNC","ITGAV_TNC","RL"
"ITGAV","COL6A3","ITGAV_COL6A3","RL"
"ITGAV","DSPP","ITGAV_DSPP","RL"
"ITGAV","COL4A4","ITGAV_COL4A4","RL"
"ITGAV","COL4A5","ITGAV_COL4A5","RL"
"ITGAV","VTN","ITGAV_VTN","RL"
"ITGAV","LAMA3","ITGAV_LAMA3","RL"
"ITGAV","THBS4","ITGAV_THBS4","RL"
"ITGAV","THBS1","ITGAV_THBS1","RL"
"ITGAV","TNXB","ITGAV_TNXB","RL"
"ITGAV","LAMB2","ITGAV_LAMB2","RL"
"ITGAV","FN1","ITGAV_FN1","RL"
"ITGAV","MEPE","ITGAV_MEPE","RL"
"ITGAV","LAMB4","ITGAV_LAMB4","RL"
"ITGAV","VWF","ITGAV_VWF","RL"
"ITGAV","COL9A1","ITGAV_COL9A1","RL"
"ITGAV","COL9A2","ITGAV_COL9A2","RL"
"ITGAV","LAMC2","ITGAV_LAMC2","RL"
"ITGAV","COL6A1","ITGAV_COL6A1","RL"
"ITGAV","THBS3","ITGAV_THBS3","RL"
"ITGAV","LAMA2","ITGAV_LAMA2","RL"
"ITGAV","DMP1","ITGAV_DMP1","RL"
"ITGAV","COL6A5","ITGAV_COL6A5","RL"
"ITGAV","LAMA4","ITGAV_LAMA4","RL"
"ITGAV","LAMA5","ITGAV_LAMA5","RL"
"ITGB1","TNC","ITGB1_TNC","RL"
"ITGB1","COL1A1","ITGB1_COL1A1","RL"
"ITGB1","COL2A1","ITGB1_COL2A1","RL"
"ITGB1","FRAS1","ITGB1_FRAS1","RL"
"ITGB1","LAMA2","ITGB1_LAMA2","RL"
"ITGB1","TNR","ITGB1_TNR","RL"
"ITGB1","THBS3","ITGB1_THBS3","RL"
"ITGB1","LAMA1","ITGB1_LAMA1","RL"
"ITGB1","VTN","ITGB1_VTN","RL"
"ITGB1","LAMA4","ITGB1_LAMA4","RL"
"ITGB1","COL6A5","ITGB1_COL6A5","RL"
"ITGB1","COL6A2","ITGB1_COL6A2","RL"
"ITGB1","RELN","ITGB1_RELN","RL"
"ITGB1","COL4A1","ITGB1_COL4A1","RL"
"ITGB1","DSPP","ITGB1_DSPP","RL"
"ITGB1","COL4A2","ITGB1_COL4A2","RL"
"ITGB1","LAMC1","ITGB1_LAMC1","RL"
"ITGB1","LAMA3","ITGB1_LAMA3","RL"
"ITGB1","FN1","ITGB1_FN1","RL"
"ITGB1","COL4A4","ITGB1_COL4A4","RL"
"ITGB1","COL4A3","ITGB1_COL4A3","RL"
"ITGB1","LAMB3","ITGB1_LAMB3","RL"
"ITGB1","COL1A2","ITGB1_COL1A2","RL"
"ITGB1","SPP1","ITGB1_SPP1","RL"
"ITGB1","TNN","ITGB1_TNN","RL"
"ITGB1","LAMC2","ITGB1_LAMC2","RL"
"ITGB1","COL6A6","ITGB1_COL6A6","RL"
"ITGB1","LAMB2","ITGB1_LAMB2","RL"
"ITGB1","COL6A1","ITGB1_COL6A1","RL"
"ITGB1","CHAD","ITGB1_CHAD","RL"
"ITGB1","THBS1","ITGB1_THBS1","RL"
"ITGB1","COMP","ITGB1_COMP","RL"
"ITGB1","FREM1","ITGB1_FREM1","RL"
"ITGB1","COL4A5","ITGB1_COL4A5","RL"
"ITGB1","COL6A3","ITGB1_COL6A3","RL"
"ITGB1","TNXB","ITGB1_TNXB","RL"
"ITGB1","LAMC3","ITGB1_LAMC3","RL"
"ITGB1","FREM2","ITGB1_FREM2","RL"
"ITGB1","THBS2","ITGB1_THBS2","RL"
"ITGB1","THBS4","ITGB1_THBS4","RL"
"ITGB1","LAMA5","ITGB1_LAMA5","RL"
"ITGB1","LAMB1","ITGB1_LAMB1","RL"
"ITGB1","COL4A6","ITGB1_COL4A6","RL"
"ITGB1","COL9A1","ITGB1_COL9A1","RL"
"ITGB1","COL9A2","ITGB1_COL9A2","RL"
"ITGB1","COL9A3","ITGB1_COL9A3","RL"
"ITGB1","LAMB4","ITGB1_LAMB4","RL"
"ITGB1","NPNT","ITGB1_NPNT","RL"
"ITGB3","TNR","ITGB3_TNR","RL"
"ITGB3","MEPE","ITGB3_MEPE","RL"
"ITGB3","THBS3","ITGB3_THBS3","RL"
"ITGB3","IBSP","ITGB3_IBSP","RL"
"ITGB3","TNC","ITGB3_TNC","RL"
"ITGB3","VWF","ITGB3_VWF","RL"
"ITGB3","SPP1","ITGB3_SPP1","RL"
"ITGB3","THBS1","ITGB3_THBS1","RL"
"ITGB3","THBS2","ITGB3_THBS2","RL"
"ITGB3","VTN","ITGB3_VTN","RL"
"ITGB3","THBS4","ITGB3_THBS4","RL"
"ITGB3","DMP1","ITGB3_DMP1","RL"
"ITGB3","TNXB","ITGB3_TNXB","RL"
"ITGB3","COMP","ITGB3_COMP","RL"
"ITGB3","TNN","ITGB3_TNN","RL"
"ITGB3","FN1","ITGB3_FN1","RL"
"ITGB4","LAMC3","ITGB4_LAMC3","RL"
"ITGB4","LAMB2","ITGB4_LAMB2","RL"
"ITGB4","LAMC1","ITGB4_LAMC1","RL"
"ITGB4","LAMA2","ITGB4_LAMA2","RL"
"ITGB4","LAMB4","ITGB4_LAMB4","RL"
"ITGB4","LAMA4","ITGB4_LAMA4","RL"
"ITGB4","LAMB3","ITGB4_LAMB3","RL"
"ITGB4","LAMB1","ITGB4_LAMB1","RL"
"ITGB4","LAMA1","ITGB4_LAMA1","RL"
"ITGB4","LAMC2","ITGB4_LAMC2","RL"
"ITGB4","LAMA3","ITGB4_LAMA3","RL"
"ITGB4","LAMA5","ITGB4_LAMA5","RL"
"ITGB5","IBSP","ITGB5_IBSP","RL"
"ITGB5","SPP1","ITGB5_SPP1","RL"
"ITGB5","VTN","ITGB5_VTN","RL"
"ITGB6","DSPP","ITGB6_DSPP","RL"
"ITGB6","TNR","ITGB6_TNR","RL"
"ITGB6","FN1","ITGB6_FN1","RL"
"ITGB6","TNN","ITGB6_TNN","RL"
"ITGB6","TNC","ITGB6_TNC","RL"
"ITGB6","TNXB","ITGB6_TNXB","RL"
"ITGB7","FN1","ITGB7_FN1","RL"
"ITGB8","COL1A1","ITGB8_COL1A1","RL"
"ITGB8","LAMA1","ITGB8_LAMA1","RL"
"ITGB8","FN1","ITGB8_FN1","RL"
"ITGB8","COL6A5","ITGB8_COL6A5","RL"
"ITGB8","LAMC1","ITGB8_LAMC1","RL"
"ITGB8","COL6A3","ITGB8_COL6A3","RL"
"ITGB8","COL4A1","ITGB8_COL4A1","RL"
"ITGB8","COL4A4","ITGB8_COL4A4","RL"
"ITGB8","COL6A2","ITGB8_COL6A2","RL"
"ITGB8","COL4A2","ITGB8_COL4A2","RL"
"ITGB8","COL2A1","ITGB8_COL2A1","RL"
"ITGB8","COL1A2","ITGB8_COL1A2","RL"
"ITGB8","LAMB3","ITGB8_LAMB3","RL"
"ITGB8","COL4A3","ITGB8_COL4A3","RL"
"ITGB8","COL6A1","ITGB8_COL6A1","RL"
"ITGB8","COL9A1","ITGB8_COL9A1","RL"
"ITGB8","LAMB1","ITGB8_LAMB1","RL"
"ITGB8","COL6A6","ITGB8_COL6A6","RL"
"ITGB8","COL9A2","ITGB8_COL9A2","RL"
"ITGB8","VTN","ITGB8_VTN","RL"
"ITGB8","COL4A5","ITGB8_COL4A5","RL"
"ITGB8","LAMB2","ITGB8_LAMB2","RL"
"ITGB8","LAMA5","ITGB8_LAMA5","RL"
"ITGB8","LAMB4","ITGB8_LAMB4","RL"
"ITGB8","LAMA4","ITGB8_LAMA4","RL"
"ITGB8","COL9A3","ITGB8_COL9A3","RL"
"ITGB8","LAMC2","ITGB8_LAMC2","RL"
"ITGB8","LAMA2","ITGB8_LAMA2","RL"
"ITGB8","LAMA3","ITGB8_LAMA3","RL"
"ITGB8","COL4A6","ITGB8_COL4A6","RL"
"ITGB8","LAMC3","ITGB8_LAMC3","RL"
"GP6","COL9A2","GP6_COL9A2","RL"
"GP6","COL6A5","GP6_COL6A5","RL"
"GP6","COL2A1","GP6_COL2A1","RL"
"GP6","COL6A6","GP6_COL6A6","RL"
"GP6","COL1A1","GP6_COL1A1","RL"
"GP6","COL4A3","GP6_COL4A3","RL"
"GP6","COL9A1","GP6_COL9A1","RL"
"GP6","COL9A3","GP6_COL9A3","RL"
"GP6","COL4A1","GP6_COL4A1","RL"
"GP6","COL4A6","GP6_COL4A6","RL"
"GP6","COL6A1","GP6_COL6A1","RL"
"GP6","COL4A2","GP6_COL4A2","RL"
"GP6","COL4A5","GP6_COL4A5","RL"
"GP6","COL1A2","GP6_COL1A2","RL"
"GP6","COL6A2","GP6_COL6A2","RL"
"GP6","COL4A4","GP6_COL4A4","RL"
"GP6","COL6A3","GP6_COL6A3","RL"
"SDC1","COL9A2","SDC1_COL9A2","RL"
"SDC1","TNXB","SDC1_TNXB","RL"
"SDC1","COL4A5","SDC1_COL4A5","RL"
"SDC1","COL4A4","SDC1_COL4A4","RL"
"SDC1","COL6A3","SDC1_COL6A3","RL"
"SDC1","COL4A2","SDC1_COL4A2","RL"
"SDC1","TNR","SDC1_TNR","RL"
"SDC1","COMP","SDC1_COMP","RL"
"SDC1","COL2A1","SDC1_COL2A1","RL"
"SDC1","COL6A2","SDC1_COL6A2","RL"
"SDC1","COL1A1","SDC1_COL1A1","RL"
"SDC1","COL4A6","SDC1_COL4A6","RL"
"SDC1","COL6A1","SDC1_COL6A1","RL"
"SDC1","TNC","SDC1_TNC","RL"
"SDC1","COL6A6","SDC1_COL6A6","RL"
"SDC1","COL6A5","SDC1_COL6A5","RL"
"SDC1","COL1A2","SDC1_COL1A2","RL"
"SDC1","THBS1","SDC1_THBS1","RL"
"SDC1","COL9A1","SDC1_COL9A1","RL"
"SDC1","THBS4","SDC1_THBS4","RL"
"SDC1","TNN","SDC1_TNN","RL"
"SDC1","THBS2","SDC1_THBS2","RL"
"SDC1","FN1","SDC1_FN1","RL"
"SDC1","COL4A1","SDC1_COL4A1","RL"
"SDC1","COL4A3","SDC1_COL4A3","RL"
"SDC1","THBS3","SDC1_THBS3","RL"
"SDC1","COL9A3","SDC1_COL9A3","RL"
"SDC4","THBS2","SDC4_THBS2","RL"
"SDC4","COL4A5","SDC4_COL4A5","RL"
"SDC4","COL6A2","SDC4_COL6A2","RL"
"SDC4","COL6A3","SDC4_COL6A3","RL"
"SDC4","COL6A6","SDC4_COL6A6","RL"
"SDC4","COMP","SDC4_COMP","RL"
"SDC4","COL1A2","SDC4_COL1A2","RL"
"SDC4","COL2A1","SDC4_COL2A1","RL"
"SDC4","COL4A4","SDC4_COL4A4","RL"
"SDC4","COL9A2","SDC4_COL9A2","RL"
"SDC4","THBS4","SDC4_THBS4","RL"
"SDC4","THBS3","SDC4_THBS3","RL"
"SDC4","TNC","SDC4_TNC","RL"
"SDC4","COL6A5","SDC4_COL6A5","RL"
"SDC4","COL1A1","SDC4_COL1A1","RL"
"SDC4","TNR","SDC4_TNR","RL"
"SDC4","COL9A1","SDC4_COL9A1","RL"
"SDC4","TNN","SDC4_TNN","RL"
"SDC4","THBS1","SDC4_THBS1","RL"
"SDC4","FN1","SDC4_FN1","RL"
"SDC4","COL4A1","SDC4_COL4A1","RL"
"SDC4","TNXB","SDC4_TNXB","RL"
"SDC4","COL4A6","SDC4_COL4A6","RL"
"SDC4","COL6A1","SDC4_COL6A1","RL"
"SDC4","COL4A3","SDC4_COL4A3","RL"
"SDC4","COL9A3","SDC4_COL9A3","RL"
"SDC4","COL4A2","SDC4_COL4A2","RL"
"ITGA10","COL1A1","ITGA10_COL1A1","RL"
"ITGA10","COL4A4","ITGA10_COL4A4","RL"
"ITGA10","COL4A1","ITGA10_COL4A1","RL"
"ITGA10","COL1A2","ITGA10_COL1A2","RL"
"ITGA10","COL4A6","ITGA10_COL4A6","RL"
"ITGA10","COL9A2","ITGA10_COL9A2","RL"
"ITGA10","COL9A3","ITGA10_COL9A3","RL"
"ITGA10","COL9A1","ITGA10_COL9A1","RL"
"ITGA10","COL6A1","ITGA10_COL6A1","RL"
"ITGA10","COL6A3","ITGA10_COL6A3","RL"
"ITGA10","COL4A2","ITGA10_COL4A2","RL"
"ITGA10","COL6A5","ITGA10_COL6A5","RL"
"ITGA10","COL2A1","ITGA10_COL2A1","RL"
"ITGA10","COL6A2","ITGA10_COL6A2","RL"
"ITGA10","COL4A3","ITGA10_COL4A3","RL"
"ITGA10","COL6A6","ITGA10_COL6A6","RL"
"ITGA10","COL4A5","ITGA10_COL4A5","RL"
"ITGA8","TNC","ITGA8_TNC","RL"
"ITGA8","VTN","ITGA8_VTN","RL"
"ITGA8","TNXB","ITGA8_TNXB","RL"
"ITGA8","NPNT","ITGA8_NPNT","RL"
"ITGA8","FREM1","ITGA8_FREM1","RL"
"ITGA8","FN1","ITGA8_FN1","RL"
"ITGA8","TNR","ITGA8_TNR","RL"
"ITGA8","TNN","ITGA8_TNN","RL"
"ITGA8","FREM2","ITGA8_FREM2","RL"
"ITGA8","FRAS1","ITGA8_FRAS1","RL"
"CD36","THBS3","CD36_THBS3","RL"
"CD36","COMP","CD36_COMP","RL"
"CD36","THBS1","CD36_THBS1","RL"
"CD36","THBS2","CD36_THBS2","RL"
"CD36","THBS4","CD36_THBS4","RL"
"CD44","LAMC3","CD44_LAMC3","RL"
"CD44","COL4A6","CD44_COL4A6","RL"
"CD44","LAMB3","CD44_LAMB3","RL"
"CD44","COL2A1","CD44_COL2A1","RL"
"CD44","LAMA1","CD44_LAMA1","RL"
"CD44","COL6A5","CD44_COL6A5","RL"
"CD44","LAMC2","CD44_LAMC2","RL"
"CD44","COL6A6","CD44_COL6A6","RL"
"CD44","LAMA3","CD44_LAMA3","RL"
"CD44","COL6A1","CD44_COL6A1","RL"
"CD44","LAMA4","CD44_LAMA4","RL"
"CD44","COL4A4","CD44_COL4A4","RL"
"CD44","LAMB1","CD44_LAMB1","RL"
"CD44","COL1A1","CD44_COL1A1","RL"
"CD44","FN1","CD44_FN1","RL"
"CD44","LAMB2","CD44_LAMB2","RL"
"CD44","COL4A1","CD44_COL4A1","RL"
"CD44","COL9A2","CD44_COL9A2","RL"
"CD44","LAMC1","CD44_LAMC1","RL"
"CD44","COL6A3","CD44_COL6A3","RL"
"CD44","LAMA2","CD44_LAMA2","RL"
"CD44","COL4A2","CD44_COL4A2","RL"
"CD44","COL6A2","CD44_COL6A2","RL"
"CD44","COL4A5","CD44_COL4A5","RL"
"CD44","LAMA5","CD44_LAMA5","RL"
"CD44","COL1A2","CD44_COL1A2","RL"
"CD44","LAMB4","CD44_LAMB4","RL"
"CD44","COL9A3","CD44_COL9A3","RL"
"CD44","COL9A1","CD44_COL9A1","RL"
"CD44","COL4A3","CD44_COL4A3","RL"
"CD47","THBS4","CD47_THBS4","RL"
"CD47","THBS2","CD47_THBS2","RL"
"CD47","THBS3","CD47_THBS3","RL"
"CD47","COMP","CD47_COMP","RL"
"CD47","THBS1","CD47_THBS1","RL"
"SV2B","LAMC1","SV2B_LAMC1","RL"
"SV2B","LAMA1","SV2B_LAMA1","RL"
"SV2B","LAMA3","SV2B_LAMA3","RL"
"SV2B","LAMC2","SV2B_LAMC2","RL"
"SV2B","LAMC3","SV2B_LAMC3","RL"
"SV2B","LAMA2","SV2B_LAMA2","RL"
"SV2B","LAMB2","SV2B_LAMB2","RL"
"SV2B","LAMB3","SV2B_LAMB3","RL"
"SV2B","LAMA4","SV2B_LAMA4","RL"
"SV2B","LAMB1","SV2B_LAMB1","RL"
"SV2B","LAMB4","SV2B_LAMB4","RL"
"SV2B","LAMA5","SV2B_LAMA5","RL"
"SV2A","LAMB2","SV2A_LAMB2","RL"
"SV2A","LAMC1","SV2A_LAMC1","RL"
"SV2A","LAMA5","SV2A_LAMA5","RL"
"SV2A","LAMA3","SV2A_LAMA3","RL"
"SV2A","LAMB3","SV2A_LAMB3","RL"
"SV2A","LAMB4","SV2A_LAMB4","RL"
"SV2A","LAMC2","SV2A_LAMC2","RL"
"SV2A","LAMA1","SV2A_LAMA1","RL"
"SV2A","LAMA2","SV2A_LAMA2","RL"
"SV2A","LAMA4","SV2A_LAMA4","RL"
"SV2A","LAMC3","SV2A_LAMC3","RL"
"SV2A","LAMB1","SV2A_LAMB1","RL"
